Book	Reference	ID	Quote	Occurrence
EXO	40:27	iwuo	in front of the curtain	0
GEN	14:23	xn0s	אִם־מִ⁠חוּט֙ וְ⁠עַ֣ד שְׂרֽוֹךְ־נַ֔עַל	1
GEN	14:23	vzf5	אִם־מִ⁠חוּט֙ וְ⁠עַ֣ד שְׂרֽוֹךְ־נַ֔עַל וְ⁠אִם־אֶקַּ֖ח מִ⁠כָּל־אֲשֶׁר־לָ֑⁠ךְ	1
GEN	14:23	lbqa	מִ⁠חוּט֙ וְ⁠עַ֣ד שְׂרֽוֹךְ נַ֔עַל	1
GEN	14:23	wb28	וְ⁠אִם אֶקַּ֖ח מִ⁠כָּל	1
GEN	14:23	ah9p	אֲשֶׁר לָ֑⁠ךְ	1
GEN	14:23	hns6	וְ⁠לֹ֣א תֹאמַ֔ר	1
GEN	14:23	xhbz	אֲנִ֖י הֶעֱשַׁ֥רְתִּי אֶת אַבְרָֽם	1
JAS	4:16	j291	καυχᾶσθε ἐν ταῖς ἀλαζονίαις ὑμῶν. πᾶσα καύχησις τοιαύτη πονηρά ἐστιν	1
JAS	5:5	j308	ἐτρυφήσατε ἐπὶ τῆς γῆς. καὶ ἐσπαταλήσατε	1
JHN	3:17	ynyh	τὸν κόσμον & ὁ κόσμος	2
JHN	3:36	hpte	ὁ & ἀπειθῶν	2
JHN	3:36	joql	ὁ & ἀπειθῶν	2
JHN	6:10	v4h0	ἦν δὲ χόρτος πολὺς ἐν τῷ τόπῳ. ἀνέπεσαν οὖν οἱ ἄνδρες, τὸν ἀριθμὸν ὡς πεντακισχίλιοι.	1
JHN	8:18	ycc8	ὁ & Πατήρ	2
JHN	8:19	o66t	οὔτε ἐμὲ οἴδατε, οὔτε τὸν Πατέρα μου. εἰ ἐμὲ ᾔδειτε, καὶ τὸν Πατέρα μου ἂν ᾔδειτε	1
JHN	12:18	czmv	τοῦτο & τὸ σημεῖον	2
JHN	18:28	v6e4	ἦν δὲ πρωΐ. καὶ αὐτοὶ οὐκ εἰσῆλθον εἰς τὸ πραιτώριον, ἵνα μὴ μιανθῶσιν, ἀλλὰ φάγωσιν τὸ Πάσχα	1
JOB	31:12	bn97	וּֽ⁠בְ⁠כָל־תְּב֖וּאָתִ֣⁠י תְשָׁרֵֽשׁand it would uproot all of my harvest	1
JON	1:17	q87y	וַ⁠יְמַ֤ן יְהוָה֙ דָּ֣ג גָּד֔וֹל לִ⁠בְלֹ֖עַ אֶת־יוֹנָ֑ה וַ⁠יְהִ֤י יוֹנָה֙ בִּ⁠מְעֵ֣י הַ⁠דָּ֔ג שְׁלֹשָׁ֥ה יָמִ֖ים וּ⁠שְׁלֹשָׁ֥ה לֵילֽוֹת	0
JUD	1:10	q640	ὅσα  &  φυσικῶς ὡς τὰ ἄλογα ζῷα ἐπίστανται	2
LUK	6:45	l338	ἐκ & περισσεύματος καρδίας λαλεῖ τὸ στόμα αὐτοῦ	3
LUK	6:45	jc6z	ἐκ & περισσεύματος καρδίας λαλεῖ τὸ στόμα αὐτοῦ	3
LUK	9:58	r7vq	ὁ & Υἱὸς τοῦ Ἀνθρώπου	2
LUK	9:58	l535	ὁ & Υἱὸς τοῦ Ἀνθρώπου	2
LUK	10:16	g3fx	ὁ & ἐμὲ ἀθετῶν, ἀθετεῖ τὸν ἀποστείλαντά με	3
LUK	13:7	l854	εἶπεν & πρὸς τὸν ἀμπελουργόν, ἰδοὺ, τρία ἔτη ἀφ’ οὗ ἔρχομαι ζητῶν καρπὸν ἐν τῇ συκῇ ταύτῃ, καὶ οὐχ εὑρίσκω. ἔκκοψον αὐτήν, ἵνα τί καὶ τὴν γῆν καταργεῖ?	1
LUK	15:19	m009	οὐκέτι εἰμὶ ἄξιος κληθῆναι υἱός σου. ποίησόν με ὡς ἕνα τῶν μισθίων σου	1
LUK	16:7	m060	ὁ δὲ εἶπεν, ἑκατὸν κόρους σίτου. λέγει αὐτῷ, δέξαι σου τὰ γράμματα καὶ γράψον ὀγδοήκοντα	1
LUK	16:25	m085	εἶπεν δὲ Ἀβραάμ, τέκνον, μνήσθητι ὅτι ἀπέλαβες τὰ ἀγαθά σου ἐν τῇ ζωῇ σου, καὶ Λάζαρος ὁμοίως τὰ κακά. νῦν δὲ ὧδε παρακαλεῖται, σὺ δὲ ὀδυνᾶσαι	1
LUK	22:44	m558	Καὶ γενόμενος ἐν ἀγωνίᾳ ἐκτενέστερον προσηύχετο. καὶ Ἐγένετο ὁ ἱδρὼς αὐτοῦ ὡσεὶ θρόμβοι αἵματος καταβαίνοντες ἐπὶ τὴν γῆν	1
LUK	23:3	m600	ὁ & ἀποκριθεὶς αὐτῷ ἔφη	3
LUK	23:34	m641	But Jesus said, “Father, forgive them, for they do not know what they are doing”	0
LUK	23:34	m643	Father, forgive them, for they do not know what they are doing	0
LUK	23:34	m644	Father	0
LUK	23:34	m645	forgive them	0
MAT	3:17	hdro	εὐδοκέω	1
MAT	7:16	pul5	ἀπὸ τῶν καρπῶν αὐτῶν ἐπιγνώσεσθε αὐτούς. μήτι συλλέγουσιν ἀπὸ ἀκανθῶν σταφυλὰς, ἢ ἀπὸ τριβόλων σῦκα?	1
MAT	13:50	j8nf	καὶ βαλοῦσιν αὐτοὺς εἰς τὴν κάμινον τοῦ πυρός. ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων	1
MAT	16:2-3	ubk7	ὀψίας γενομένης λέγετε, εὐδία; πυρράζει γὰρ ὁ οὐρανός. & καὶ πρωΐ, σήμερον χειμών; πυρράζει γὰρ στυγνάζων ὁ οὐρανός. τὸ μὲν πρόσωπον τοῦ οὐρανοῦ γινώσκετε διακρίνειν τὰ δὲ σημεῖα τῶν καιρῶν οὐ δύνασθε?	1
